7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.3780 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C5E26180A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C5E2618040>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C5E2606D60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C5E8CBD550>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.3781 	EXP 	window1: mouseVisible = True
8.3781 	EXP 	window1: backgroundImage = ''
8.3781 	EXP 	window1: backgroundFit = 'none'
8.3788 	EXP 	window1: mouseVisible = False
8.3788 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.3788 	EXP 	window1: recordFrameIntervals = False
8.5439 	EXP 	window1: recordFrameIntervals = True
8.7280 	EXP 	Screen (0) actual frame rate measured at 59.91Hz
8.7280 	EXP 	window1: recordFrameIntervals = False
11.7174 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.7540 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.7610 	EXP 	Imported data/3-11-23_delay.xlsx as conditions, 7 conditions, 3 params
11.7633 	EXP 	Created sequence: random, trialTypes=7, nReps=15, seed=None
11.7636 	EXP 	New trial (rep=0, index=0): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
11.8703 	EXP 	text: height = 0.05
11.8703 	EXP 	text: height = 0.05
11.8703 	EXP 	text: height = 0.05
11.8703 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
11.8703 	EXP 	fixation: autoDraw = True
12.7591 	EXP 	text: autoDraw = True
12.8758 	EXP 	fixation: autoDraw = False
14.9784 	EXP 	New trial (rep=0, index=1): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
14.9951 	DATA 	Keypress: t
14.9963 	EXP 	fixation: autoDraw = False
14.9963 	EXP 	text: autoDraw = False
14.9963 	EXP 	text: height = 0.05
14.9963 	EXP 	text: height = 0.05
14.9963 	EXP 	text: height = 0.05
14.9963 	EXP 	text: text = 'GBP 27 today or  GBP50 after 21 days'
14.9963 	EXP 	fixation: autoDraw = True
15.9912 	EXP 	text: autoDraw = True
16.0079 	EXP 	fixation: autoDraw = False
17.6767 	EXP 	New trial (rep=0, index=2): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
17.6915 	DATA 	Keypress: t
17.6927 	EXP 	fixation: autoDraw = False
17.6927 	EXP 	text: autoDraw = False
17.6927 	EXP 	text: height = 0.05
17.6927 	EXP 	text: height = 0.05
17.6927 	EXP 	text: height = 0.05
