reward_today,future_reward,delay,key_resp.keys,K,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
78,80,162,l,0.000158278,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
67,75,119,l,0.001003386,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
49,60,89,l,0.002522357,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
27,50,21,t,0.040564374,,,,0.015663621,0.201405993
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,l,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,l,0.040564374,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,l,0.102564103,,,,,
15,35,13,l,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
15,35,13,t,0.102564103,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
11,30,7,t,0.246753247,,,,,
